name,scryfall_id,set,collector_number,type_line,oracle_text,color_identity
"Carnage, Crimson Chaos",930befba-6068-493e-baa2-e9371cd99e93,spm,125,Legendary Creature — Symbiote Villain,"Trample When Carnage enters, return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains ""This creature attacks each combat if able"" and ""When this creature deals combat damage to a player, sacrifice it."" Mayhem {B}{R}",BR
Carth the Lion,e09e9b65-ff0e-4efe-b96a-ede69c96e2ea,mh2,189,Legendary Creature — Human Warrior,"Whenever Carth enters or a planeswalker you control dies, look at the top seven cards of your library. You may reveal a planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. Planeswalkers' loyalty abilities you activate cost an additional [+1] to activate.",BG
"Casal, Lurkwood Pathfinder // Casal, Pathbreaker Owlbear",d571c367-c786-41f9-9cdb-cb02594fa413,slx,29,Legendary Creature — Tiefling Druid // Legendary Creature — Bird Bear,,G
"Cass, Hand of Vengeance",5b6d7fa6-4de6-4bc8-b250-2ed6eb559618,pip,97,Legendary Creature — Human Ranger,"Vigilance Whenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.",RW
Catti-brie of Mithral Hall,d3626ede-6c69-4fd5-8de1-cf85f50cd435,afc,44,Legendary Creature — Human Archer,"First strike, reach Whenever Catti-brie attacks, put a +1/+1 counter on it for each Equipment attached to it. {1}, Remove all +1/+1 counters from Catti-brie: It deals X damage to target attacking or blocking creature an opponent controls, where X is the number of counters removed this way.",GW
"Cayth, Famed Mechanist",5f8e6e5d-63d8-48c3-93a0-e7de1d75f5ca,m3c,6,Legendary Creature — Dwarf Artificer,"Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.) Other nontoken creatures you control have fabricate 1. {2}, {T}: Choose one — • Populate. • Proliferate.",RUW
"Cazur, Ruthless Stalker",6ee4fda8-07cd-4091-8850-a6925080b464,otc,188,Legendary Creature — Human Warrior,"Partner with Ukkima, Stalking Shadow (When this creature enters, target player may put Ukkima into their hand from their library, then shuffle.) Whenever a creature you control deals combat damage to a player, put a +1/+1 counter on that creature.",G
"Cecil, Dark Knight // Cecil, Redeemed Paladin",026e7167-d665-43d0-a51e-8df2d68cdb5e,fin,91,Legendary Creature — Human Knight // Legendary Creature — Human Knight,,BW
"Cecily, Haunted Mage",a09ffd51-8ea4-40a6-b64e-58f3acfee533,slx,3,Legendary Creature — Human Wizard,"Your maximum hand size is eleven. Whenever Cecily, Haunted Mage attacks, you draw a card and you lose 1 life. Then if you have eleven or more cards in your hand, you may cast an instant or sorcery spell from your hand without paying its mana cost. Friends forever (You can have two commanders if both have friends forever.)",BRU
Celeborn the Wise,2daf449a-5f3e-44fd-968e-55d8517ae797,ltr,156,Legendary Creature — Elf Noble,"Whenever you attack with one or more Elves, scry 1. Whenever you scry, Celeborn gets +1/+1 until end of turn for each card looked at while scrying this way.",G
"Celes, Rune Knight",30584c53-533b-4dc7-b07c-8600164a99b3,fic,1,Legendary Creature — Human Wizard Knight,"When Celes enters, discard any number of cards, then draw that many cards plus one. Whenever one or more other creatures you control enter, if one or more of them entered from a graveyard or was cast from a graveyard, put a +1/+1 counter on each creature you control.",BRW
Celestial Kirin,003e99a0-2caa-407b-be40-92ec17836eb3,sok,3,Legendary Creature — Kirin Spirit,"Flying Whenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's mana value.",W
"Celestine, the Living Saint",a099cbd2-e92a-433a-bc51-0aa2f8fc6857,40k,10,Legendary Creature — Human Warrior,"Flying, lifelink Healing Tears — At the beginning of your end step, return target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn.",W
"Cerise, Slayer of Fear",6bae30ba-1402-4a42-8dee-a899150fcc6e,ywoe,1,Legendary Creature — Human Cleric Knight,"First strike, lifelink At the beginning of your second main phase, if you gained life this turn, seek a card with the highest mana value among cards in your library with mana value less than or equal to the amount of life you gained this turn.",W
"Chainer, Dementia Master",186c30e6-2b84-415d-83e4-ecddaeb11ca1,cmm,144,Legendary Creature — Human Minion,"All Nightmares get +1/+1. {B}{B}{B}, Pay 3 life: Put target creature card from a graveyard onto the battlefield under your control. That creature is black and is a Nightmare in addition to its other creature types. When Chainer leaves the battlefield, exile all Nightmares.",B
"Chainer, Nightmare Adept",d8089e7f-7619-43fe-8e0b-31ce5d988a1b,mh2,289,Legendary Creature — Human Minion,"Discard a card: You may cast a creature spell from your graveyard this turn. Activate only once each turn. Whenever a nontoken creature you control enters, if you didn't cast it from your hand, it gains haste until your next turn.",BR
"Chameleon, Master of Disguise",43892ce7-f63a-4294-922b-8f879f684033,spm,27,Legendary Creature — Human Shapeshifter Villain,"You may have Chameleon enter as a copy of a creature you control, except his name is Chameleon, Master of Disguise. Mayhem {2}{U} (You may cast this card from your graveyard for {2}{U} if you discarded it this turn. Timing rules still apply.)",U
Chandler,4dd3a8e3-9a90-44f4-996c-57242d3c47a5,hml,69,Legendary Creature — Human Rogue,"{R}{R}{R}, {T}: Destroy target artifact creature.",R
"Chandra, Fire of Kaladesh // Chandra, Roaring Flame",b0d6caf0-4fa8-4ec5-b7f4-1307474d1b13,ori,135,Legendary Creature — Human Shaman // Legendary Planeswalker — Chandra,,R
"Charix, the Raging Isle",e83a6804-1e3c-428c-af5e-1d56ba11c108,znr,49,Legendary Creature — Leviathan Crab,"Spells your opponents cast that target Charix cost {2} more to cast. {3}: Charix gets +X/-X until end of turn, where X is the number of Islands you control.",U
"Chatterfang, Squirrel General",1785cf85-1ac0-4246-9b89-1a8221a8e1b2,mh2,151,Legendary Creature — Squirrel Warrior,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.) If one or more tokens would be created under your control, those tokens plus that many 1/1 green Squirrel creature tokens are created instead. {B}, Sacrifice X Squirrels: Target creature gets +X/-X until end of turn.",BG
"Chevill, Bane of Monsters",fecbf0a3-ebe1-43b6-a720-462ba19002eb,iko,181,Legendary Creature — Human Rogue,"Deathtouch At the beginning of your upkeep, if your opponents control no permanents with bounty counters on them, put a bounty counter on target creature or planeswalker an opponent controls. Whenever a permanent an opponent controls with a bounty counter on it dies, you gain 3 life and draw a card.",BG
Child of Alara,b2373625-af3c-4c2a-a1d1-5288c446955d,2x2,192,Legendary Creature — Avatar,"Trample When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.",BGRUW
"Chisei, Heart of Oceans",6c359b1a-d441-4763-96c7-e5c010eae53f,bok,32,Legendary Creature — Spirit,"Flying At the beginning of your upkeep, sacrifice Chisei unless you remove a counter from a permanent you control.",U
"Chishiro, the Shattered Blade",bffa36ac-137d-481c-b1b7-76a88ef15d54,nec,1,Legendary Creature — Snake Samurai,"Whenever an Aura or Equipment you control enters, create a 2/2 red Spirit creature token with menace. At the beginning of your end step, put a +1/+1 counter on each modified creature you control. (Equipment, Auras you control, and counters are modifications.)",GR
"Chiss-Goria, Forge Tyrant",923eb713-c955-4e12-8a8f-df3b4b361487,onc,25,Legendary Creature — Dragon,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) Flying, haste Whenever Chiss-Goria attacks, exile the top five cards of your library. You may cast an artifact spell from among them this turn. If you do, it has affinity for artifacts.",R
"Choco, Seeker of Paradise",409c305a-52dc-4538-8e72-efcd568eaf49,fin,215,Legendary Creature — Bird,"Whenever one or more Birds you control attack, look at that many cards from the top of your library. You may put one of them into your hand. Then put any number of land cards from among them onto the battlefield tapped and the rest into your graveyard. Landfall — Whenever a land you control enters, Choco gets +1/+0 until end of turn.",GUW
"Cho-Manno, Revolutionary",fe04dfe7-6376-4c12-9404-0e1ae0942917,10e,12,Legendary Creature — Human Rebel,Prevent all damage that would be dealt to Cho-Manno.,W
Chorus of the Conclave,f6cde2c4-f53d-4b44-b83b-37b12e00c835,cmd,189,Legendary Creature — Dryad,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.) As an additional cost to cast creature spells, you may pay any amount of mana. If you do, that creature enters with that many additional +1/+1 counters on it.",GW
Chromium,15ec5a20-4e8f-40b2-9abf-c0bf1cf816c3,me3,147,Legendary Creature — Elder Dragon,"Flying Rampage 2 (Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.) At the beginning of your upkeep, sacrifice Chromium unless you pay {W}{U}{B}.",BUW
"Chromium, the Mutable",50c1de2c-1acc-47c8-9b5e-a9dae3da8a49,m19,214,Legendary Creature — Elder Dragon,"Flash This spell can't be countered. Flying Discard a card: Until end of turn, Chromium becomes a Human with base power and toughness 1/1, loses all abilities, and gains hexproof. It can't be blocked this turn.",BUW
"Chulane, Teller of Tales",d1499a4b-1af1-4913-8e26-57d0707264db,mkc,202,Legendary Creature — Human Druid,"Vigilance Whenever you cast a creature spell, draw a card, then you may put a land card from your hand onto the battlefield. {3}, {T}: Return target creature you control to its owner's hand.",GUW
"Cid, Freeflier Pilot",afa9e3e6-a633-46ad-b52a-48574b2f3d07,fic,13,Legendary Creature — Human Warrior Pilot,"Equipment and Vehicle spells you cast cost {1} less to cast. Jump — During your turn, Cid has flying. {2}, {T}: Return target Equipment or Vehicle card from your graveyard to your hand.",W
"Cid, Timeless Artificer",7fb99393-d2b6-40a6-8de7-317efdc4c50b,fin,216,Legendary Creature — Human Artificer,"Artifact creatures and Heroes you control get +1/+1 for each Artificer you control and each Artificer card in your graveyard. A deck can have any number of cards named Cid, Timeless Artificer. Cycling {W}{U} ({W}{U}, Discard this card: Draw a card.)",UW
"Circu, Dimir Lobotomist",0b19c0f3-68a5-4544-985a-677aa2c2b50b,rav,196,Legendary Creature — Human Wizard,"Whenever you cast a blue spell, exile the top card of target player's library. Whenever you cast a black spell, exile the top card of target player's library. Your opponents can't cast spells with the same name as a card exiled with Circu.",BU
Círdan the Shipwright,c4f23d68-d0de-4b57-b0f9-9c0ca770c3c1,ltc,50,Legendary Creature — Elf Noble,"Vigilance Secret council — Whenever Círdan enters or attacks, each player secretly votes for a player, then those votes are revealed. Each player draws a card for each vote they received. Each player who received no votes may put a permanent card from their hand onto the battlefield.",GU
"Claire D'Loon, Joy Sculptor",0ecc9331-0f35-4921-bb27-58a22d3980a7,unf,165,Legendary Creature — Human Performer,"When Claire D'Loon, Joy Sculptor enters, for the rest of the game, tokens you own become cards that are still tokens. (They continue to exist after they leave the battlefield.) {1}{W}{U}, {T}: You may put a token from your graveyard or hand onto the battlefield.",UW
Clan Crafter,3e82f96f-bd2b-4672-b729-c44c943fcac9,clb,651,Legendary Enchantment — Background,"Commander creatures you own have ""{2}, Sacrifice an artifact: Put a +1/+1 counter on this creature and draw a card.""",U
Clara Oswald,9a1ee042-6713-4e9e-9901-9b94d99d33f1,who,9,Legendary Creature — Human Advisor,"Impossible Girl — If Clara Oswald is your commander, choose a color before the game begins. Clara Oswald is the chosen color. If a triggered ability of a Doctor you control triggers, that ability triggers an additional time. Doctor's companion (You can have two commanders if the other is the Doctor.)",
"Clavileño, First of the Blessed",9f55b648-b1ec-407a-a0c7-7647755793d1,lcc,2,Legendary Creature — Vampire Cleric,"Whenever you attack, target attacking Vampire that isn't a Demon becomes a Demon in addition to its other types. It gains ""When this creature dies, draw a card and create a tapped 4/3 white and black Vampire Demon creature token with flying.""",BW
